Food class level 1,Metrics,Concentration levels,Concentration levels
,"Cheese, feta, QUAL Low fat (naturally or reduced)",14.13,1197.165
,"Cheese, fourme d'ambert",8.6,1491.47
,"Cheese, gorgonzola",5.2,1113.697
,"Cheese, gouda",17.7,1397.31
,"Cheese, gouda, QUAL Half fat or medium fat",2.2,1775.587
,"Cheese, gouda, QUAL Low fat (naturally or reduced)",2.2,1775.587
,"Cheese, grana padano",21.6,2258.618
,"Cheese, gruyere",18.6,1706.77
,"Cheese, gruyere, QUAL Half fat or medium fat",2,2281.169
,"Cheese, gruyere, QUAL Low fat (naturally or reduced)",2,2281.169
,"Cheese, leicester",23.2,1247.64
,"Cheese, livarot",,
,"Cheese, maasdam",27.5,1623.46
,"Cheese, mimolette",10.37,1512.44
,"Cheese, morbier",17.5,1418.37
,"Cheese, munster",17.4,720.969
,"Cheese, nagelkaas, QUAL Half fat or medium fat",26.37,1658.5
,"Cheese, nagelkaas, QUAL Low fat (naturally or reduced)",20.37,2031.38
,"Cheese, ossau-iraty",,
,"Cheese, parmigiano reggiano",23.9,2083.276
,"Cheese, pecorino romano",,1490.42
,"Cheese, pont l'eveque",,
,"Cheese, provolone",27,1490.715
,"Cheese, provolone, QUAL Half fat or medium fat",2,1514.542
,"Cheese, provolone, QUAL Low fat (naturally or reduced)",2,1751.773
,"Cheese, reblochon",,
,"Cheese, roquefort",14.4,1062.833
,"Cheese, saint marcellin",3.02,1438.537
,"Cheese, saint nectaire",,
,"Cheese, scamorza",,811.78
,"Cheese, stilton",15.2,761.97
,"Cheese, tilsit",41.6,1450.496
,"Cheese, tilsit, QUAL Half fat or medium fat",2,1751.773
,"Cheese, tilsit, QUAL Low fat (naturally or reduced)",3,2351.98
,"Cheese, tomme de savoie",,
,"Cheese, trappist",2,1346.357
,"Cheese, trappist, QUAL Half fat or medium fat",2,1397.933
,"Cheese, trappist, QUAL Low fat (naturally or reduced)",2,1397.933
,"Cheese, white stilton",19.3,627.167
,"Cheese, white stilton, QUAL Half fat or medium fat",1,820.177
,"Cheese, white stilton, QUAL Low fat (naturally or reduced)",1,820.177
,Condensed milk (sometimes with added sugars),3.7,923.37
,Cottage cheese,11.6,476.96
,"Cottage cheese, QUAL Fat free",8.6,476.72
,"Cow milk, natural high fat",1.8,379.57
,"Cow milk, natural high fat, QUAL Low / reduced lactose",1.4,365.483
,"Cow milk, semi skimmed (half fat)",1.4,382.7
,"Cow milk, semi skimmed (half fat), FORT Mixed supplements/formulations",1.4,393.77
,"Cow milk, semi skimmed (half fat), QUAL Low / reduced lactose",3.2,343.407
,"Cow milk, skimmed (low fat)",1.8,390.64
,"Cow milk, skimmed (low fat), FORT Mixed supplements/formulations",4.14,372.373
,"Cow milk, skimmed (low fat), QUAL Low / reduced lactose",3.2,384.684
,"Cow milk, whole",2.9,378.63
,"Cow milk, whole, QUAL Low / reduced lactose",1.4,365.483
,Cream powder,3,2487.775
,Cream sprayable,1.1,226.91
,Cream with other ingredients,1.17,211.271
,"Cream with other ingredients, QUAL Half fat or medium fat",0.4,261.957
,"Cream, plain",3.6,174.03
,"Cream, plain, QUAL Half fat or medium fat",1.4,281.63
,"Cream, plain, QUAL Low fat (naturally or reduced)",1.37,263.756
,Cr�me fraiche and other mild variants of sour cream,0.2,204.82
,"Cr�me fraiche and other mild variants of sour cream, QUAL Half fat or medium fat",4.2,308.807
,"Cr�me fraiche and other mild variants of sour cream, QUAL Low fat (naturally or reduced)",2.13,323.243
,Cultured buttermilk,1.29,352.068
,Custard,2.2,313.36
,"Evaporated milk (liquid, unsweetened)",3.1,943.357
,"Extra hard cheese (parmesan, grana type)",27.3,1915.06
,Filmj�lk,2.07,381.84
,"Filmj�lk, QUAL Low fat (naturally or reduced)",2.07,391.8
,Firm brined cheese (ricotta salata type),29.3,537.903
,Firm-ripened bloomy (white mould) or washed rind cheese,17.5,1244.73
,Firm-ripened blue mould-veined cheese,16.2,1055.67
,"Firm-ripened cheese with added herbs, spices or other ingredients",,0.46
,Firm/semi-hard cheese (gouda and edam type),16.1,1437.29
,"Firm/semi-hard cheese (gouda and edam type), QUAL Half fat or medium fat",22.2,1777.05
,"Firm/semi-hard cheese (gouda and edam type), QUAL Low fat (naturally or reduced)",19.2,1775.587
,Flavoured milks,,
,Flavoured sour cream,2.9,251.198
,"Flavoured sour cream, QUAL Half fat or medium fat",0.3,323.073
,"Flavoured sour cream, QUAL Low fat (naturally or reduced)",0.3,336.684
,Flavoured traditional sour milk products,10.83,342.468
,Flavoured whey,0.4,214.759
,Frozen yoghurt,0.3,268.155
,Goat milk,5.8,374.61
,"Hard cheese (cheddar, emmental type)",28.1,1323.537
,"Hard cheese (cheddar, emmental type), QUAL Half fat or medium fat",23.3,1620.71
,"Hard cheese (cheddar, emmental type), QUAL Low fat (naturally or reduced)",1,2022.117
,Horse milk,2.3,238.058
,Human milk,,
,"Ice cream, milk-based",2.5,379.43
,"Ice cream, milk-imitate based",2.7,323.21
,Kefir,,
,Lactose,0,3.325
,Mascarpone,4.3,231.24
,Milk from other milk producer animals,0.1,393.86
,"Milk powder, full fat",14.4,3127.22
,"Milk powder, skimmed",14.6,3986.779
,Milk protein,1.2,878.06
,Milkshakes,3.5,434.43
,Mozzarella,13.7,703.84
,Probiotic milk-like drinks,1.51,407.098
,"Probiotic milk-like drinks, QUAL Semi-skimmed",1.51,407.098
,"Probiotic milk-like drinks, QUAL Skim",1.5,167.701
,Processed cheese and spreads,11.2,1591.95
,"Processed cheese and spreads, QUAL Half fat or medium fat",15.2,1665.13
,"Processed cheese and spreads, QUAL Low fat (naturally or reduced)",24.82,2607.93
,Processed cheese wedges and similar,22.6,1420.21
,"Processed cheese wedges and similar, QUAL Half fat or medium fat",18.2,1418.21
,"Processed cheese wedges and similar, QUAL Low fat (naturally or reduced)",16.6,1618.04
,"Processed cheese, sliceable",11.2,1591.95
,"Processed cheese, sliceable, QUAL Half fat or medium fat",15.2,1665.13
,"Processed cheese, sliceable, QUAL Low fat (naturally or reduced)",16.37,1989.88
,"Processed cheese, spreadable",8.6,1582.11
,"Processed cheese, spreadable, QUAL Half fat or medium fat",10,1600.3
,"Processed cheese, spreadable, QUAL Low fat (naturally or reduced)",16.6,1618.04
,Quark,8.7,475.98
,Ricotta,29.3,537.903
,Sheep milk,10,461.12
,Skyr,13.22,398.266
,Soft brined cheese (feta type),12.1,760.56
,"Soft brined cheese (feta type), QUAL Low fat (naturally or reduced)",14.13,1197.165
,"Soft-ripened cheese veined with blue mould (blue bavarian, blue de graven type )",15.2,1055.37
,"Soft-ripened cheese with bloomy rind (white mould) (brie, camembert type)",10.6,602.63
,Soft-ripened cheese with natural rind and other soft-ripened cheeses,19.8,1058.485
,Soft-ripened cheese with white and blue mould (cambozola type),9.2,1055.37
,Soft-ripened washed-rind cheese (limburger type),15,1277.673
,Sour cream products,0.2,296.39
,"Sour cream products, QUAL Half fat or medium fat",0.3,323.073
,"Sour cream products, QUAL Low fat (naturally or reduced)",0.3,336.684
,"Sour cream, plain",0.2,296.39
,"Sour cream, plain, QUAL Half fat or medium fat",0.3,323.073
,"Sour cream, plain, QUAL Low fat (naturally or reduced)",0.3,336.684
,Starchy pudding,2.75,317.94
,Traditional buttermilk (churning),1.13,351.708
,Traditional nordic fermented milks,1.48,391.448
,Viili,3.1,415.061
,"Viili, QUAL Fat free",3,382.98
,"Viili, QUAL Low fat (naturally or reduced)",3,392.961
,Water buffalo milk,8.3,458.113
,Whey powder,13.4,3700.827
,"Whey, sour",0.4,300.952
,"Whey, sweet",2.1,253.876
,"Yoghurt drinks, including sweetened and/or flavoured variants",2.2,323.485
,"Yoghurt drinks, including sweetened and/or flavoured variants, FORT Mixed supplements/formulations",0,387.033
,"Yoghurt drinks, including sweetened and/or flavoured variants, FORT Mixed supplements/formulations, QUAL Semi-skimmed",1.3,354.812
,"Yoghurt drinks, including sweetened and/or flavoured variants, FORT Mixed supplements/formulations, QUAL Skim",3.01,654.86
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Low / Reduced sugar",0.4,374.569
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Semi-skimmed",8.08,1048.946
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Skim",0.82,1033.673
,"Yoghurt drinks, including sweetened and/or flavoured variants, QUAL Sugar free",0.4,374.569
,"Yoghurt, cow milk, flavoured",2.3,402.81
,"Yoghurt, cow milk, flavoured, FORT Mixed supplements/formulations, QUAL Skim",1.5,333.474
,"Yoghurt, cow milk, flavoured, QUAL Low / Reduced sugar",0.4,384.734
,"Yoghurt, cow milk, flavoured, QUAL Semi-skimmed",11.68,1228.381
,"Yoghurt, cow milk, flavoured, QUAL Skim",2.92,1284.488
,"Yoghurt, cow milk, flavoured, QUAL Sugar free",1.4,384.634
,"Yoghurt, cow milk, plain",2.2,671.78
,"Yoghurt, cow milk, plain, FORT Mixed supplements/formulations, QUAL Semi-skimmed",1.88,429.43
,"Yoghurt, cow milk, plain, FORT Mixed supplements/formulations, QUAL Skim",0.8,908.858
,"Yoghurt, cow milk, plain, QUAL Low / Reduced sugar",0.4,384.634
,"Yoghurt, cow milk, plain, QUAL Semi-skimmed",10.1,1282.02
,"Yoghurt, cow milk, plain, QUAL Skim",5.3,1485.692
,"Yoghurt, cow milk, plain, QUAL Sugar free",2.4,384.634
,"Yoghurt, goat milk, plain",,480.52
,"Yoghurt, goat milk, plain, QUAL Semi-skimmed",,388.15
,"Yoghurt, sheep milk, flavoured",0.4,347.505
,"Yoghurt, sheep milk, flavoured, QUAL Low / Reduced sugar",0.4,384.634
,"Yoghurt, sheep milk, flavoured, QUAL Semi-skimmed",7.2,1060.178
,"Yoghurt, sheep milk, flavoured, QUAL Skim",1.2,1319.292
,"Yoghurt, sheep milk, flavoured, QUAL Sugar free",0.4,384.634
,"Yoghurt, sheep milk, plain",1.2,498.946
,"Yoghurt, sheep milk, plain, QUAL Low / Reduced sugar",0.4,384.634
,"Yoghurt, sheep milk, plain, QUAL Semi-skimmed",7.2,1093.348
,"Yoghurt, sheep milk, plain, QUAL Skim",1.2,1363.641
,"Yoghurt, sheep milk, plain, QUAL Sugar free",0.4,384.634
"Products for non-standard diets, food imitates and food supplements or fortifying agents",Almond drink,0.5,135.34
,Carbohydrate-electrolyte solutions for sports people,2,53.414
,Dietary foods for special medical purposes,0,0
,Imitation cheese,2.5,966.99
,Imitation cream,2,271.73
,"Imitation cream, QUAL Half fat or medium fat",2,335.08
,Non dairy coffee creamer,3.9,1503.71
,"Non dairy coffee creamer, QUAL Half fat or medium fat",0,1493.861
,Oats drink,0.9,106.103
,Protein and protein components for sports people,1.6,2909.8
,Rice drink,0,74.52
,Single meal replacement for weight reduction,5.8,709.28
,Soya drink,7,316.96
,Soya yoghurt,5,198.703
,"Soya yoghurt, QUAL Half fat or medium fat",0.38,330.34
,Textured fungal proteins,1,412.19
,Textured soy protein,0.8,3865.88
,Tofu,24.9,448.6
,Total daily diet replacement for weight reduction,4.8,1249.55
"Seasoning, sauces and condiments",Alcoholic sweet sauce,2.4,197.1
,Apple chutney,3,239.9
,Barbecue or steak sauces,1.3,310.463
,Bechamel sauce,4.5,444.75
,Butter sauce,0.4,25.345
,Cheese sauce,3.8,610.05
,Chilli pickle,11.62,480.293
,Chocolate sauce,1,591.982
,Chutneys,0,79.964
,"Continental european brown cooked sauce, gravy",0,32.254
,Cream sauce,1.85,126.049
,Curry powder,17.1,3090.334
,Curry sauce,5,261.787
,Fruit sauce,1.34,52.574
,Fudge sauce,1.3,293.745
,Gravy browning,0,334.87
,Gravy ingredients,0,486.77
,Gravy instant granules,0,264.31
,Gravy thickener,0,9.73
,Hollandaise type sauce,12.1,293.225
,Horseradish sauce,0,325.58
,Lime pickle,0,447.26
,Malt extract,0,471
,Mango chutney,0,80.5
,Mango pickle,0,293.33
,Mayonnaise sauce,5,69.69
,"Mayonnaise, low fat",3,74.887
,Meat extract,35.6,1582.23
,Mint sauce,0,410.9
,Miscellaneous savoury extracts,1,3365.43
,Mixed and other not listed condiments,2.2,91.1
,Mixed herbs and spices,0,4124.598
,Mushrooms cooked sauce,2.38,31.724
,Mustard and related sauces,6,553.36
,"Mustard, hot",6,553.46
,"Mustard, mild",6,801.77
,"Mustard, sweet",6,385.487
,Oyster sauce,63,321.528
,Pesto,209.75,1261.084
,Piccalilly pickle,0,80.06
,Pickles,0,128.39
,Pickling spice,0,1785.532
,Salad dressing,14,86.9
,"Salad dressing, low fat",24,199.731
,Salsa,0.4,343.34
,Salt,0.5,87.48
,"Salt, flavoured",0,727.175
,"Salt, iodised",0.5,10.21
,"Salt, iodised and fluoridated",0,524.25
,"Salt, low sodium",1.2,34600
,Sea salt,0,148.22
,Seasoning mixes,16.8,1698.099
,Soy sauce,58.5,288.59
,"Stock cube or granulate, beef",0,809.65
,Stock cubes or granulate (bouillon base),0.6,136.11
,"Stock cubes or granulate (bouillon base), QUAL Low sodium / reduced salt",1.7,2391.4267
,"Stock cubes or granulate, chicken",0.5,778.5
,"Stock cubes or granulate, vegetables",0,607.85
,Tabasco sauce,0,1234.526
,Tartar sauce,1,121.39
,Teriyaki sauce,3.39,769.111
,Tomato chutney,4,356.16
,Tomato ketchup and related sauces,0,417.47
,Tomato-containing cooking sauces,12,579.542
,Vegetable savoury extracts,0,246.689
,Vegetables-based cooked sauce,11,255.311
,Vinegar,1,51.243
,"Vinegar, apple",1,51.243
,"Vinegar, wine",1,51.243
,Yeast extract,22,3371.962
"Starchy roots or tubers and products thereof, sugar plants",Arrowroots,0,1163.356
,"Arrowroots, PROCESS Baking",0,1060.993
,"Arrowroots, PROCESS Cooking in water",0,988.731
,"Arrowroots, PROCESS Steaming",0,988.731
,Cassava roots,0,405.474
,"Cassava roots, PROCESS Baking",0,433.35
,"Cassava roots, PROCESS Cooking in water",0,335.873
,"Cassava roots, PROCESS Steaming",0,417.373
,Fries (finger chips),4,826.26
,Main-crop potatoes,3,422.23
,"Main-crop potatoes, PROCESS Baking",3,428.42
,"Main-crop potatoes, PROCESS Cooking in water",3,332.25
,"Main-crop potatoes, PROCESS Steaming",3,332.25
,Mashed potato powder,1,1812.57
,Mexican yam beans,0,226.197
,"Mexican yam beans, PROCESS Cooking in water",0,189.971
,"Mexican yam beans, PROCESS Steaming",0,189.971
,New potatoes,1,376.06
,"New potatoes, PROCESS Baking",0,415.357
,"New potatoes, PROCESS Cooking in water",1,518.23
,"New potatoes, PROCESS Steaming",1,518.23
,Pan-fried potato,4,837.788
,Potato baked,2,416.66
,Potato boiled,2,416.117
,Potato crisps or sticks,10.6,1249.75
,Potato flakes,2.5,1784.282
,Potato flour,0,64.01
,Potato starch,0,64.08
,Potato starch-based snacks,3,1028.19
,Sweet potatoes,1,464.48
,"Sweet potatoes, PROCESS Baking",1,607.821
,"Sweet potatoes, PROCESS Cooking in water",1,420.35
,"Sweet potatoes, PROCESS Steaming",1,440.641
,Tannias,0,573.14
,"Tannias, PROCESS Baking",0,812.9
,Tapioca starch,0,78.785
,Tapioca starch-based snacks,3,263.83
,Taros,0,482.079
,"Taros, PROCESS Baking",0,577.05
,"Taros, PROCESS Cooking in water",0,317.401
,"Taros, PROCESS Steaming",0,441.301
,Yams,1,439.707
,"Yams, PROCESS Baking",0,588.585
,"Yams, PROCESS Cooking in water",0,306.963
,"Yams, PROCESS Steaming",0,427.143
"Sugar, confectionery and water-based sweet desserts",Basic sweet masses,2.2,884.75
,Bitter chocolate,7.29,700.497
,"Bitter chocolate, QUAL Sugar free",4.29,796.858
,Bitter-sweet chocolate,9,268.98
,"Bitter-sweet chocolate, QUAL Sugar free",4.29,796.858
,"Caramel, hard",1,151.857
,"Caramel, hard, QUAL Low / Reduced sugar",0,4.041
,"Caramel, hard, QUAL Sugar free",0,4.041
,"Caramel, soft",1,214.14
,"Caramel, soft, QUAL Low / Reduced sugar",0,4.041
,"Caramel, soft, QUAL Sugar free",0,4.041
,Chewing gum,0,1879.1
,"Chewing gum, QUAL Low / Reduced sugar",0,28.097
,"Chewing gum, QUAL Sugar free",0,5.157
,Chocolate and chocolate products,7,886.867
,"Chocolate and chocolate products, QUAL Low / Reduced sugar",2.7,1836.75
,"Chocolate and chocolate products, QUAL Sugar free",6.58,792.175
,Chocolate coated confectionery,5.06,601.91
,Cream chocolate,5,744.24
,Dessert halva,2,115.237
,"Drag�e, sugar coated",1,10.925
,"Drag�e, sugar coated, QUAL Low / Reduced sugar",0,4.041
,"Drag�e, sugar coated, QUAL Sugar free",0,14.307
,Filled chocolate,7,584.777
,Foamed sugar products (marshmallows),2,12.833
,Fructose,0.5,1.01
,Fudge,1.3,385.98
,Gelatine dessert,0,16.41
,"Gelatine dessert, QUAL Sugar free",0,8.062
,Glucose,0,24.61
,Granita,,0
,Gum drops,0,26.722
,"Gum drops, QUAL Sugar free",20,564.66
,Hard candies,0,27.647
,"Hard candies, QUAL Low / Reduced sugar",0,14.307
,"Hard candies, QUAL Sugar free",0,79.307
,"Honey, polyfloral",1,76.649
,Jelly candies,0,19.57
,Liquorice candies,1,899.444
,"Liquorice candies, QUAL Sugar free",1,506.9
,Marzipan,1,434
,Marzipan raw mass,2.2,884.75
,Milk chocolate,7,886.867
,"Milk chocolate, QUAL Low / Reduced sugar",2.7,1836.75
,"Milk chocolate, QUAL Sugar free",10.58,968.366
,Molasses,0,1948.61
,Nougat,6,373.754
,"Nougat, QUAL Low / Reduced sugar",7.2,916.187
,"Nougat, QUAL Sugar free",7.2,916.187
,Nuts-seeds based halva,36.4,815.945
,Polyols,0,0
,Pralines,2,497.03
,Sorbet,1,57.592
,Sucrose (common sugar),0,18.42
,Sweet confectionery-deprecated,0,30.317
,"Sweet confectionery-deprecated, QUAL Low / Reduced sugar",0,4.041
,"Sweet confectionery-deprecated, QUAL Sugar free",0,14.307
,Syrups,1,75.757
,Toffee,1,254.32
,"Toffee, QUAL Low / Reduced sugar",0,4.041
,"Toffee, QUAL Sugar free",0,4.041
,White chocolate,13.67,881.69
Vegetables and vegetable products,Alfalfa sprouts,1,211.663
,"Alfalfa sprouts, PROCESS Cooking in water",0,195.519
,"Alfalfa sprouts, PROCESS Steaming",0,221.85
,Angelica (leaves and stems),0.1,1080.864
,Aniseed myrtle,310.1,381.023
,Asparagus,40,376.45
,"Asparagus, PROCESS Baking",43,325.369
,"Asparagus, PROCESS Cooking in water",40,312.19
,"Asparagus, PROCESS Steaming",42,312.19
,Aubergines,2,248.433
,"Aubergines, PROCESS Baking",1.5,277.85
,"Aubergines, PROCESS Cooking in water",2,231.509
,"Aubergines, PROCESS Frying",17.4,217.617
,"Aubergines, PROCESS Steaming",2,231.606
,Bamboo shoots,6,541.793
,"Bamboo shoots, PROCESS Cooking in water",6,588.423
,"Bamboo shoots, PROCESS Frying",0.046,414.427
,"Bamboo shoots, PROCESS Steaming",6,588.423
,Basil,0.1,607.78
,Beans (with pods) and similar-,36,308.84
,"Beans (with pods) and similar-, PROCESS Baking",51,387.561
,"Beans (with pods) and similar-, PROCESS Cooking in water",35,189.437
,"Beans (with pods) and similar-, PROCESS Steaming",36,189.534
,Beetroots,5,464.017
,"Beetroots, PROCESS Baking",100.2,575.05
,"Beetroots, PROCESS Cooking in water",5,643.89
,"Beetroots, PROCESS Steaming",5,643.931
,Borage,0,675.1
,Broccoli and similar-,185,540.62
,"Broccoli and similar-, PROCESS Baking",136.1,438.613
,"Broccoli and similar-, PROCESS Cooking in water",135,284.18
,"Broccoli and similar-, PROCESS Frying",188,390.114
,"Broccoli and similar-, PROCESS Steaming",135,284.397
,Brussels sprouts,156,565.353
,"Brussels sprouts, PROCESS Baking",127.767,672.466
,"Brussels sprouts, PROCESS Cooking in water",137,407.37
,"Brussels sprouts, PROCESS Steaming",10,407.18
,Canned mushrooms,2,249.912
,"Canned mushrooms, PROCESS Baking",18,412.302
,"Canned mushrooms, PROCESS Cooking in water",2,119.518
,"Canned mushrooms, PROCESS Steaming",2,220.988
,Cardoons,0.2,566.166
,"Cardoons, PROCESS Cooking in water",0,402.559
,"Cardoons, PROCESS Steaming",0,402.559
,Carrots,16,214.54
,"Carrots, PROCESS Baking",17,466.289
,"Carrots, PROCESS Cooking in water",17,165.77
,"Carrots, PROCESS Frying",0.2,790.7
,"Carrots, PROCESS Steaming",16,165.77
,Cauliflowers,31,485.55
,"Cauliflowers, PROCESS Baking",29.5,407.678
,"Cauliflowers, PROCESS Cooking in water",28.5,203.29
,"Cauliflowers, PROCESS Steaming",28.5,203.371
,Celeriacs,42,587.02
,"Celeriacs, PROCESS Baking",45,604.132
,"Celeriacs, PROCESS Cooking in water",43,431.51
,"Celeriacs, PROCESS Steaming",46,431.719
,Celeries,32,388.21
,"Celeries, PROCESS Cooking in water",35,300.61
,"Celeries, PROCESS Steaming",3,300.61
,Celery leaves,2.7,838.08
,"Celtuce, PROCESS Steaming",0.558,337.013
,Ceps,11,436.662
,"Ceps, PROCESS Baking",0,531.216
,"Ceps, PROCESS Cooking in water",16.9,286.74
,"Ceps, PROCESS Steaming",16.9,520.331
,Chanterelles,0,606.68
,"Chanterelles, PROCESS Baking",0,517.667
,"Chanterelles, PROCESS Cooking in water",0,605.654
,"Chanterelles, PROCESS Steaming",0,610.063
,Chards,0.3,563.314
,"Chards, PROCESS Baking",0,623.031
,"Chards, PROCESS Cooking in water",0.9,732.727
,"Chards, PROCESS Steaming",0.9,732.856
,Chervil,1.2,1069.644
,Chickpea sprouts,7,345.17
,Chili peppers,5,360.7
,"Chili peppers, PROCESS Baking",5,435.708
,"Chili peppers, PROCESS Cooking in water",5,321.062
,Chinese cabbages and similar-,80,319.893
,"Chinese cabbages and similar-, PROCESS Baking",2.1,589.531
,"Chinese cabbages and similar-, PROCESS Cooking in water",89,432.997
,"Chinese cabbages and similar-, PROCESS Steaming",0,432.99
,Chives,380.1,400.539
,Chives and similar-,380.1,400.539
,Common bean sprouts,5,452.323
,Common mushrooms,23,423.02
,"Common mushrooms, PROCESS Baking",17,677.058
,"Common mushrooms, PROCESS Cooking in water",23,332.143
,"Common mushrooms, PROCESS Frying",12,475.06
,"Common mushrooms, PROCESS Steaming",24,334.36
,Common nettle,0,1416.423
,Courgettes,1,454.427
,Courgettes and similar-,1,454.427
,"Courgettes and similar-, PROCESS Baking",0,277.39
,"Courgettes and similar-, PROCESS Cooking in water",12,283.907
,"Courgettes and similar-, PROCESS Frying",1,624.88
,"Courgettes and similar-, PROCESS Steaming",1,284.004
,"Courgettes, PROCESS Baking",0,277.39
,"Courgettes, PROCESS Cooking in water",1,283.907
,"Courgettes, PROCESS Frying",1,624.88
,"Courgettes, PROCESS Steaming",1,284.004
,Cresses,0,219.907
,Cucumbers,13,215.86
,Curly kales,819,682.427
,"Curly kales, PROCESS Cooking in water",721,362.929
,"Curly kales, PROCESS Frying",2,612.89
,"Curly kales, PROCESS Steaming",721,362.929
,Curry leaves,0,1107
,Dandelions,0.5,339.718
,Dill leaves,2,1230.197
,Dried mushrooms,274,5121.511
,"Dried mushrooms, PROCESS Cooking in water",15,505.841
,"Dried mushrooms, PROCESS Steaming",15,505.841
,Dried vegetables,164,2248.367
,Dulse,0,136.562
,"Dulse, PROCESS Cooking in water",0,284.655
,"Dulse, PROCESS Steaming",0,284.655
,Escaroles,1,357.057
,Escaroles and similar-,1,505.283
,"Escaroles and similar-, PROCESS Baking",2.2,328.076
,"Escaroles and similar-, PROCESS Cooking in water",0,259.321
,"Escaroles and similar-, PROCESS Steaming",0,259.321
,Fennel leaves,0.1,500.483
,Florence fennels,0,499.75
,"Florence fennels, PROCESS Baking",5.9,546.903
,"Florence fennels, PROCESS Cooking in water",4.9,349.395
,"Florence fennels, PROCESS Steaming",4.9,349.444
,Garden cress sprouts,0,218.54
,"Garden cress sprouts, PROCESS Steaming",0,563.748
,Garden sorrel,0,435.442
,Garlic and similar-,2,839.843
,"Garlic and similar-, PROCESS Baking",0.5,791.374
,"Garlic and similar-, PROCESS Cooking in water",0,498.471
,"Garlic and similar-, PROCESS Steaming",0,707.904
,Garlic puree,2,421.125
,Gherkins,13,299.31
,Globe artichokes,1,464.42
,"Globe artichokes, PROCESS Cooking in water",0.07,443.921
,"Globe artichokes, PROCESS Steaming",0.07,443.921
,Grape leaves,109,831.354
,"Grape leaves, PROCESS Cooking in water",121,701.205
,"Grape leaves, PROCESS Steaming",121,701.205
,Head cabbages,61,373.36
,Head cabbages and similar-,61,373.36
,"Head cabbages and similar-, PROCESS Baking",64.793,402.37
,"Head cabbages and similar-, PROCESS Cooking in water",66.5,183.28
,"Head cabbages and similar-, PROCESS Frying",1.7,439.7023
,"Head cabbages and similar-, PROCESS Steaming",2,183.28
,"Head cabbages, PROCESS Baking",66.6,403.283
,"Head cabbages, PROCESS Cooking in water",66.5,183.28
,"Head cabbages, PROCESS Frying",,
,"Head cabbages, PROCESS Steaming",2,183.28
,Hijiki,0,425.35
,"Hijiki, PROCESS Cooking in water",0,253.667
,"Hijiki, PROCESS Steaming",0,253.667
,Honey mushroom,0,573.409
,"Honey mushroom, PROCESS Cooking in water",0,518.76
,"Honey mushroom, PROCESS Steaming",0,518.76
,Horseradish roots,0,811.06
,"Horseradish roots, PROCESS Cooking in water",0,734.007
,"Horseradish roots, PROCESS Steaming",0.2,734.007
,Jerusalem artichokes,0.4,592.36
,"Jerusalem artichokes, PROCESS Baking",0,536.004
,"Jerusalem artichokes, PROCESS Cooking in water",0.7,496.615
,"Jerusalem artichokes, PROCESS Steaming",0.7,496.615
,Kales and similar-,819,682.427
,"Kales and similar-, PROCESS Baking",0,440.466
,"Kales and similar-, PROCESS Cooking in water",721,362.929
,"Kales and similar-, PROCESS Steaming",721,362.929
,Kohlrabies,8,417.79
,"Kohlrabies, PROCESS Baking",8.5,524.651
,"Kohlrabies, PROCESS Cooking in water",8,298.95
,"Kohlrabies, PROCESS Steaming",1,297.93
,Lamb's lettuces,0.9,522.128
,Land cresses,0,472.62
,Laurel,0.9,130.484
,Laver,0,492.562
,"Laver, PROCESS Cooking in water",0,284.655
,"Laver, PROCESS Steaming",0,284.655
,Leeks,48,334.66
,"Leeks, PROCESS Baking",52.8,448.222
,"Leeks, PROCESS Cooking in water",48,206.39
,"Leeks, PROCESS Steaming",50,206.39
,Lentil sprouts,5,227.18
,"Lentil sprouts, PROCESS Steaming",33,298.95
,"Lentils, fresh",127,1495.72
,"Lentils, fresh, PROCESS Baking",15.1,334.531
,"Lentils, fresh, PROCESS Cooking in water",8,503.657
,"Lentils, fresh, PROCESS Steaming",8,503.657
,Lettuces (generic),130,284.16
,Lovage leaves,0,636.467
,Mashed vegetable puree,0,1270.53
,Melons and similar-,1,229.43
,Mints,0.5,593.253
,Morels,1,296.533
,"Morels, PROCESS Baking",6.47,539.42
,"Morels, PROCESS Cooking in water",0,539.42
,"Morels, PROCESS Steaming",0,706.16
,Mung bean sprouts,6,163.43
,"Mung bean sprouts, PROCESS Cooking in water",1,119.52
,"Mung bean sprouts, PROCESS Steaming",1,119.52
,Mushy peas,0.9,310.061
,Nasturtium flowers and leaves,250,559.948
,Okra,6,623.83
,"Okra, PROCESS Cooking in water",6,543.904
,"Okra, PROCESS Steaming",6,543.904
,Onions,2,221.2
,Onions and similar-,2,221.2
,"Onions and similar-, PROCESS Baking",4,621.221
,"Onions and similar-, PROCESS Cooking in water",1,129.432
,"Onions and similar-, PROCESS Frying",2,471.73
,"Onions and similar-, PROCESS Steaming",0,129.62
,"Onions, PROCESS Baking",4,621.221
,"Onions, PROCESS Cooking in water",1,129.432
,"Onions, PROCESS Frying",2,471.73
,"Onions, PROCESS Steaming",0,129.62
,Palm hearts,0,519.24
,"Palm hearts, PROCESS Cooking in water",0.7,477.125
,"Palm hearts, PROCESS Steaming",0,477.142
,Parsley,549,1060.343
,Parsley roots,0.1,526.813
